a	~에서부터 (전치사, 탈격 지배 · 자음 앞)
ab	~에서부터 (전치사, 탈격 지배 · 모음 앞)
abyssi	abyssus 심연 (단수 속격)
ac	그리고 (atque의 짧은 꼴)
ad	~로, ~에 따라 (전치사, 대격 지배)
afferentem	afferō 가져오다·맺다 (현재분사 단수 대격)
ait	aiō 말하다 (3인칭 단수)
anima	anima 숨·생명 (단수 주격)
animae	anima 생명 (단수 속격)
animam	anima 생명 (단수 대격)
animantibus	animāns 생물 (복수 여격)
annos	annus 해·년 (복수 대격)
appareat	appāreō 드러나다 (접속법 3인칭 단수 현재) — "드러나라"
appellavit	appellō 부르다 (3인칭 단수 완료)
appellavitque	그리고 불렀다 (appellō + -que)
aquae	aqua 물 (복수 주격 / 단수 속격)
aquarum	aqua 물 (복수 속격)
aquas	aqua 물 (복수 대격)
aquis	aqua 물 (복수 탈격)
arida	aridus 마른 (여성 단수 주격) — 명사처럼 "뭍"
aridam	arida 뭍 (단수 대격)
atque	그리고, 또한
autem	한편, 그런데 (문장 둘째 자리에 오는 접속사)
avesque	avis 새 (복수 주격) + -que 그리고
benedixitque	benedīcō 축복하다 (3인칭 단수 완료) + -que
bestias	bestia 짐승 (복수 대격)
bestiis	bestia 짐승 (복수 여격)
bona	bonus 좋은 (여성 단수 주격 / 중성 복수)
bonum	bonus 좋은 (중성 단수 주격·대격)
caeli	caelum 하늘 (단수 속격)
caelo	caelum 하늘 (단수 탈격)
caelum	caelum 하늘 (단수 주격·대격)
cete	cētē 큰 바다짐승 (그리스어 차용, 중성 복수 대격)
congregationesque	congregātiō 모인 것 (복수 대격) + -que
congregentur	congregō 모으다 (접속법 수동 3인칭 복수 현재) — "모여라"
creavit	creō 창조하다 (3인칭 단수 완료)
creavitque	그리고 창조했다
crescite	crēscō 자라다 (명령법 2인칭 복수) — "자라라"
cujus	quī 관계대명사 (단수 속격) — "그것의"
cuncta	cūnctus 모든 (중성 복수 대격)
cunctis	cūnctus 모든 (복수 여격)
dedi	dō 주다 (1인칭 단수 완료)
dei	deus 신 (단수 속격)
deus	deus 신 (단수 주격)
dicens	dīcō 말하다 (현재분사 주격) — "말하며"
diei	diēs 날 (단수 여격)
diem	diēs 날 (단수 대격)
dies	diēs 날 (단수 주격 / 복수 주격·대격)
dividant	dīvidō 나누다 (접속법 3인칭 복수 현재)
dividat	dīvidō 나누다 (접속법 3인칭 단수 현재)
dividerent	dīvidō 나누다 (접속법 3인칭 복수 미완료)
divisit	dīvidō 나누다 (3인칭 단수 완료)
divisitque	그리고 나누었다
dixit	dīcō 말하다 (3인칭 단수 완료)
dixitque	그리고 말했다
dominamini	dominor 다스리다 (탈형동사 명령법 2인칭 복수) — "다스려라"
duo	duo 둘 (중성 대격)
eam	is 그것 (여성 단수 대격)
eas	is 그것들 (여성 복수 대격)
ecce	보라 (감탄사)
eis	is 그들 (복수 여격)
eos	is 그들 (남성 복수 대격)
erant	sum 이다·있다 (3인칭 복수 미완료)
erat	sum 이다·있다 (3인칭 단수 미완료)
escam	esca 먹이·양식 (단수 대격)
esset	sum 이다 (접속법 3인칭 단수 미완료)
est	sum 이다 (3인칭 단수 현재)
et	그리고
etiam	또한, 게다가
faciamus	faciō 만들다 (접속법 1인칭 복수 현재) — "만들자"
faciem	faciēs 얼굴·표면 (단수 대격)
faciens	faciō 만들다 (현재분사 주격) — "맺는"
facientem	faciō 만들다 (현재분사 대격) — "맺는"
facta	faciō (완료수동분사 여성 단수 주격) — facta est "생겨났다"
factum	faciō (완료수동분사 중성 단수) — factum est "그렇게 되었다"
factumque	그리고 그렇게 되었다
fecerat	faciō 만들다 (3인칭 단수 과거완료)
fecit	faciō 만들다 (3인칭 단수 완료)
fecitque	그리고 만들었다
feminam	fēmina 여자 (단수 대격)
ferebatur	ferō 나르다 (수동 3인칭 단수 미완료) — "떠다니고 있었다"
